entidad,municipio,municipio_nombre,seccion,section_id,distrito_local,distrito_federal
11,020,LEON,1814,110201814,5,
11,020,LEON,1815,110201815,5,
11,020,LEON,1816,110201816,5,
11,020,LEON,1817,110201817,5,
11,020,LEON,1818,110201818,5,
11,020,LEON,1819,110201819,5,
11,020,LEON,1820,110201820,5,
11,020,LEON,1821,110201821,5,
11,020,LEON,1823,110201823,5,
11,020,LEON,1824,110201824,5,
11,020,LEON,1825,110201825,5,
11,020,LEON,1826,110201826,5,
11,020,LEON,1827,110201827,5,
11,020,LEON,1828,110201828,5,
11,020,LEON,1829,110201829,5,
11,020,LEON,1830,110201830,5,
11,020,LEON,1831,110201831,5,
11,020,LEON,1832,110201832,5,
11,020,LEON,1833,110201833,5,
11,020,LEON,1834,110201834,5,
11,020,LEON,1835,110201835,5,
11,020,LEON,1836,110201836,5,
11,020,LEON,1837,110201837,5,
11,020,LEON,1838,110201838,5,
11,020,LEON,1839,110201839,5,
11,020,LEON,1840,110201840,5,
11,020,LEON,1841,110201841,5,
11,020,LEON,1842,110201842,5,
11,020,LEON,1843,110201843,5,
11,020,LEON,1844,110201844,5,
11,020,LEON,1845,110201845,5,
11,020,LEON,1846,110201846,5,
11,020,LEON,1847,110201847,5,
11,020,LEON,1848,110201848,5,
11,020,LEON,1849,110201849,5,
11,020,LEON,1850,110201850,5,
11,020,LEON,1851,110201851,5,
11,020,LEON,1852,110201852,5,
11,020,LEON,1853,110201853,5,
11,020,LEON,1854,110201854,5,
11,020,LEON,1855,110201855,5,
11,020,LEON,1856,110201856,5,
11,020,LEON,1857,110201857,5,
11,020,LEON,1858,110201858,5,
11,020,LEON,3006,110203006,5,
11,020,LEON,3007,110203007,5,
11,020,LEON,3008,110203008,5,
11,020,LEON,3009,110203009,5,
11,020,LEON,3010,110203010,5,
11,020,LEON,3011,110203011,5,
11,020,LEON,3012,110203012,5,
11,020,LEON,3013,110203013,5,
11,020,LEON,3014,110203014,5,
11,020,LEON,3016,110203016,5,
