entidad,municipio,seccion,section_id,pan_2018_votos,total_2018,pct_pan_2018,source_rows_2018
11,020,1583,110201583,568,1079,52.64133456904542,3
11,020,1584,110201584,307,609,50.41050903119869,2
11,020,1585,110201585,1657,3433,48.26682202155549,8
11,020,1586,110201586,373,705,52.90780141843972,2
11,020,1587,110201587,326,645,50.542635658914726,2
11,020,1588,110201588,330,682,48.38709677419355,3
11,020,1589,110201589,412,852,48.35680751173709,2
11,020,1590,110201590,451,941,47.92773645058448,3
11,020,1591,110201591,509,1077,47.26090993500464,3
11,020,1592,110201592,358,710,50.42253521126761,2
11,020,1593,110201593,402,789,50.950570342205324,3
11,020,1594,110201594,393,789,49.80988593155893,2
11,020,1595,110201595,287,557,51.526032315978455,2
11,020,1596,110201596,329,637,51.64835164835166,2
11,020,1597,110201597,194,364,53.2967032967033,1
11,020,1598,110201598,288,564,51.06382978723404,2
11,020,1599,110201599,223,456,48.90350877192983,2
11,020,1600,110201600,267,571,46.760070052539405,2
11,020,1601,110201601,297,607,48.92915980230643,2
11,020,1602,110201602,165,330,50.0,1
11,020,1603,110201603,391,759,51.515151515151516,2
11,020,1604,110201604,1000,1907,52.43838489774515,5
11,020,1605,110201605,303,691,43.849493487698986,2
11,020,1606,110201606,297,534,55.61797752808989,2
11,020,1607,110201607,212,383,55.35248041775457,1
11,020,1608,110201608,289,583,49.57118353344768,2
11,020,1609,110201609,401,737,54.409769335142464,2
11,020,1610,110201610,329,599,54.92487479131887,2
11,020,1611,110201611,362,959,37.747653806047964,3
11,020,1612,110201612,424,848,50.0,3
11,020,1613,110201613,1794,3504,51.1986301369863,8
11,020,1615,110201615,252,528,47.72727272727273,2
11,020,1616,110201616,310,633,48.973143759873615,2
11,020,1617,110201617,489,988,49.49392712550607,3
11,020,1618,110201618,148,619,23.909531502423263,2
11,020,1619,110201619,346,680,50.882352941176464,2
11,020,1620,110201620,1535,3184,48.209798994974875,9
11,020,1621,110201621,340,722,47.091412742382275,2
11,020,1622,110201622,197,434,45.39170506912442,1
11,020,1623,110201623,317,641,49.453978159126365,2
11,020,1624,110201624,289,543,53.22283609576427,2
11,020,1625,110201625,289,664,43.52409638554217,3
11,020,1626,110201626,698,1279,54.573885848319,3
11,020,1627,110201627,651,1272,51.17924528301887,4
11,020,1628,110201628,288,531,54.23728813559322,2
11,020,1629,110201629,473,1025,46.146341463414636,3
11,020,1630,110201630,306,641,47.737909516380654,2
11,020,1631,110201631,839,1883,44.55655868295273,6
11,020,1635,110201635,956,1912,50.0,5
11,020,1636,110201636,249,494,50.40485829959515,2
11,020,1637,110201637,269,602,44.6843853820598,2
11,020,1638,110201638,202,524,38.54961832061068,2
11,020,1639,110201639,261,666,39.189189189189186,2
11,020,1640,110201640,211,439,48.063781321184514,2
11,020,1641,110201641,1194,2482,48.10636583400483,7
11,020,1645,110201645,734,1532,47.911227154047,5
11,020,1646,110201646,723,1600,45.1875,5
11,020,1648,110201648,208,342,60.81871345029239,1
11,020,1649,110201649,395,1095,36.07305936073059,3
11,020,1650,110201650,340,961,35.37981269510926,3
11,020,1651,110201651,541,1022,52.935420743639924,4
11,020,1652,110201652,478,1633,29.271279853031228,7
11,020,1653,110201653,1001,1733,57.761107905366416,5
11,020,1654,110201654,482,864,55.78703703703704,3
11,020,1655,110201655,457,923,49.512459371614305,3
11,020,1656,110201656,279,535,52.149532710280376,2
11,020,1657,110201657,414,884,46.83257918552036,3
11,020,1658,110201658,982,2158,45.50509731232623,7
11,020,1659,110201659,314,550,57.09090909090909,2
11,020,1660,110201660,277,636,43.55345911949686,2
11,020,1661,110201661,430,894,48.09843400447427,3
11,020,1662,110201662,521,1117,46.64279319606088,4
11,020,1663,110201663,697,1056,66.00378787878788,3
11,020,1664,110201664,657,1252,52.47603833865815,4
11,020,1665,110201665,760,1337,56.84367988032909,4
11,020,1666,110201666,190,365,52.054794520547944,1
11,020,1667,110201667,546,1433,38.10188415910677,4
11,020,1668,110201668,389,791,49.17825537294564,3
11,020,1669,110201669,341,763,44.69200524246396,3
11,020,1670,110201670,140,471,29.723991507431,2
11,020,1671,110201671,255,495,51.515151515151516,2
11,020,1672,110201672,466,929,50.16146393972013,3
11,020,1673,110201673,265,489,54.19222903885481,2
11,020,1674,110201674,981,1899,51.65876777251185,5
11,020,1675,110201675,1030,2022,50.939663699307616,5
11,020,1676,110201676,458,836,54.78468899521531,2
11,020,1677,110201677,958,1865,51.367292225201076,6
11,020,1678,110201678,319,587,54.34412265758092,2
11,020,1679,110201679,426,713,59.74754558204769,2
11,020,1680,110201680,420,736,57.065217391304344,2
11,020,1682,110201682,404,745,54.22818791946309,2
11,020,1683,110201683,362,596,60.738255033557046,2
11,020,1684,110201684,226,455,49.67032967032967,1
11,020,1685,110201685,228,399,57.14285714285714,1
11,020,1686,110201686,342,567,60.317460317460316,2
11,020,1688,110201688,284,526,53.99239543726235,2
11,020,1689,110201689,475,825,57.57575757575758,2
11,020,1690,110201690,577,1069,53.9756782039289,3
11,020,1691,110201691,456,877,51.995438996579246,2
11,020,1692,110201692,531,973,54.573484069886945,3
11,020,1693,110201693,519,852,60.91549295774647,2
11,020,1694,110201694,1238,1691,73.21111768184507,4
11,020,1695,110201695,1192,1836,64.92374727668845,4
11,020,1696,110201696,552,1029,53.64431486880466,3
11,020,1697,110201697,1454,2276,63.884007029876976,5
11,020,1698,110201698,543,742,73.18059299191376,2
11,020,1699,110201699,376,572,65.73426573426573,2
11,020,1700,110201700,686,1056,64.96212121212122,2
11,020,1701,110201701,405,635,63.77952755905512,2
11,020,1702,110201702,819,1103,74.2520398912058,2
11,020,1703,110201703,98,160,61.25000000000001,1
11,020,1704,110201704,508,695,73.09352517985612,2
11,020,1705,110201705,497,710,70.0,2
11,020,1706,110201706,384,644,59.62732919254658,2
11,020,1707,110201707,216,380,56.84210526315789,1
11,020,1708,110201708,570,847,67.29634002361276,2
11,020,1709,110201709,463,878,52.73348519362187,2
11,020,1710,110201710,376,681,55.21292217327459,2
11,020,1711,110201711,2325,3246,71.62661737523105,6
11,020,1712,110201712,213,339,62.83185840707964,1
11,020,1713,110201713,445,690,64.4927536231884,2
11,020,1714,110201714,472,674,70.02967359050444,2
11,020,1715,110201715,435,656,66.3109756097561,2
11,020,1716,110201716,363,571,63.57267950963222,1
11,020,1717,110201717,379,580,65.3448275862069,2
11,020,1718,110201718,386,670,57.611940298507456,2
11,020,1719,110201719,444,798,55.639097744360896,2
11,020,1720,110201720,315,571,55.166374781085814,2
11,020,1721,110201721,410,748,54.81283422459893,2
11,020,1722,110201722,408,776,52.57731958762887,2
11,020,1723,110201723,406,791,51.32743362831859,2
11,020,1724,110201724,302,641,47.113884555382214,2
11,020,1725,110201725,210,344,61.04651162790697,1
11,020,1726,110201726,282,596,47.31543624161073,2
11,020,1727,110201727,316,618,51.1326860841424,2
11,020,1728,110201728,286,432,66.20370370370371,1
11,020,1729,110201729,332,583,56.946826758147516,3
11,020,1730,110201730,295,530,55.660377358490564,2
11,020,1731,110201731,476,956,49.7907949790795,3
11,020,1732,110201732,534,996,53.6144578313253,3
11,020,1733,110201733,530,1000,53.0,3
11,020,1734,110201734,421,759,55.467720685111985,2
11,020,1735,110201735,270,601,44.92512479201331,2
11,020,1736,110201736,232,470,49.361702127659576,2
11,020,1737,110201737,299,525,56.952380952380956,2
11,020,1738,110201738,191,396,48.23232323232323,1
11,020,1739,110201739,414,715,57.90209790209791,2
11,020,1740,110201740,306,551,55.53539019963702,2
11,020,1741,110201741,930,1652,56.295399515738495,5
11,020,1742,110201742,335,627,53.42902711323764,2
11,020,1743,110201743,190,332,57.22891566265061,1
11,020,1744,110201744,353,581,60.75731497418244,2
11,020,1745,110201745,393,818,48.044009779951104,2
11,020,1746,110201746,284,532,53.383458646616546,2
11,020,1747,110201747,915,1649,55.48817465130382,5
11,020,1748,110201748,449,789,56.907477820025356,2
11,020,1749,110201749,288,600,48.0,2
11,020,1750,110201750,321,591,54.314720812182735,2
11,020,1751,110201751,397,730,54.38356164383562,2
11,020,1752,110201752,393,730,53.83561643835616,2
11,020,1753,110201753,580,948,61.18143459915611,3
11,020,1754,110201754,418,774,54.00516795865633,2
11,020,1755,110201755,388,665,58.34586466165413,2
11,020,1756,110201756,335,588,56.97278911564626,2
11,020,1757,110201757,162,290,55.86206896551724,1
11,020,1758,110201758,346,606,57.0957095709571,2
11,020,1759,110201759,409,781,52.368758002560824,2
11,020,1760,110201760,475,824,57.64563106796117,2
11,020,1761,110201761,284,519,54.72061657032755,2
11,020,1762,110201762,267,501,53.293413173652695,2
11,020,1763,110201763,319,541,58.9648798521257,2
11,020,1764,110201764,370,680,54.41176470588235,2
11,020,1765,110201765,391,707,55.3041018387553,2
11,020,1766,110201766,370,705,52.4822695035461,2
11,020,1767,110201767,424,712,59.55056179775281,2
11,020,1768,110201768,432,835,51.73652694610779,3
11,020,1769,110201769,368,705,52.198581560283685,2
11,020,1770,110201770,506,903,56.035437430786274,3
11,020,1771,110201771,352,619,56.865912762520196,2
11,020,1772,110201772,202,419,48.21002386634845,1
11,020,1773,110201773,598,1033,57.889641819941914,3
11,020,1774,110201774,423,774,54.65116279069767,2
11,020,1775,110201775,378,693,54.54545454545454,2
11,020,1776,110201776,217,402,53.98009950248757,1
11,020,1777,110201777,249,496,50.201612903225815,2
11,020,1778,110201778,188,390,48.205128205128204,1
11,020,1779,110201779,283,571,49.56217162872154,2
11,020,1780,110201780,334,689,48.47605224963715,2
11,020,1781,110201781,283,596,47.48322147651007,2
11,020,1782,110201782,366,652,56.13496932515337,2
11,020,1783,110201783,305,563,54.174067495559505,2
11,020,1784,110201784,259,500,51.800000000000004,2
11,020,1785,110201785,279,542,51.476014760147606,2
11,020,1786,110201786,405,721,56.171983356449374,2
11,020,1787,110201787,969,1843,52.57731958762887,5
11,020,1788,110201788,179,355,50.42253521126761,1
11,020,1789,110201789,290,537,54.00372439478585,2
11,020,1790,110201790,276,538,51.301115241635685,2
11,020,1791,110201791,303,648,46.75925925925926,2
11,020,1792,110201792,324,727,44.56671251719395,2
11,020,1793,110201793,223,483,46.16977225672878,2
11,020,1794,110201794,2005,3783,53.00026434047053,9
11,020,1795,110201795,375,670,55.970149253731336,2
11,020,1796,110201796,350,653,53.59877488514548,2
11,020,1797,110201797,280,580,48.275862068965516,2
11,020,1798,110201798,239,435,54.94252873563218,1
11,020,1799,110201799,166,341,48.68035190615836,1
11,020,1800,110201800,292,575,50.78260869565218,2
11,020,1801,110201801,217,438,49.54337899543379,2
11,020,1802,110201802,487,836,58.25358851674641,2
11,020,1803,110201803,474,908,52.20264317180616,3
11,020,1804,110201804,292,475,61.473684210526315,1
11,020,1805,110201805,352,557,63.19569120287253,1
11,020,1806,110201806,226,466,48.497854077253216,2
11,020,1807,110201807,244,434,56.22119815668203,2
11,020,1808,110201808,141,296,47.63513513513514,1
11,020,1809,110201809,1624,3184,51.005025125628144,8
11,020,1810,110201810,318,622,51.12540192926045,2
11,020,1811,110201811,311,519,59.92292870905588,2
11,020,1812,110201812,120,245,48.97959183673469,1
11,020,1813,110201813,997,1467,67.96182685753239,3
11,020,1814,110201814,448,875,51.2,3
11,020,1815,110201815,175,326,53.68098159509203,1
11,020,1816,110201816,454,686,66.1807580174927,2
11,020,1817,110201817,379,639,59.31142410015649,2
11,020,1818,110201818,291,629,46.26391096979332,2
11,020,1819,110201819,101,259,38.996138996138995,1
11,020,1820,110201820,128,294,43.53741496598639,1
11,020,1821,110201821,146,364,40.10989010989011,1
11,020,1823,110201823,365,664,54.96987951807228,2
11,020,1824,110201824,260,538,48.3271375464684,2
11,020,1825,110201825,262,496,52.82258064516129,2
11,020,1826,110201826,451,784,57.525510204081634,2
